features,MAE,MSE,RMSE,R2
"['attendance', 'previous_scores', 'hours_studied', 'tutoring_sessions']",1.2732122335316098,5.069439258236873,2.2515415293164978,0.6413573918421556
"['attendance', 'sleep_hours', 'previous_scores', 'hours_studied', 'tutoring_sessions']",1.2750675674601808,5.077071891225929,2.253235871191902,0.6408174135007919
"['attendance', 'previous_scores', 'hours_studied']",1.3592073185897005,5.338274436557908,2.310470609325708,0.6223383752199566
"['attendance', 'sleep_hours', 'previous_scores', 'hours_studied']",1.3608889224810528,5.345751105427535,2.3120880401549453,0.6218094307179827
"['attendance', 'hours_studied', 'tutoring_sessions']",1.3989369310490223,5.533893638709463,2.3524229293877967,0.608499096891215
"['attendance', 'sleep_hours', 'hours_studied', 'tutoring_sessions']",1.3999262922652973,5.5432536344136505,2.3544115261384637,0.607836914527309
"['attendance', 'hours_studied']",1.4689640272451203,5.809117224063619,2.4102110330972306,0.5890281259514629
"['attendance', 'sleep_hours', 'hours_studied']",1.4706300773376364,5.817839948697002,2.4120198897805554,0.5884110279740731
"['attendance', 'sleep_hours', 'previous_scores', 'tutoring_sessions']",1.9231987475780807,8.288776723149175,2.8790235711346956,0.41360210646608186
"['attendance', 'previous_scores', 'tutoring_sessions']",1.923255540740111,8.288787718924244,2.879025480770228,0.4136013285588521
"['attendance', 'sleep_hours', 'previous_scores']",2.006249055025075,8.571310340424697,2.927680026988041,0.3936139799238171
"['attendance', 'previous_scores']",2.0065469706517547,8.571586070784416,2.9277271168577883,0.39359447310061224
"['attendance', 'sleep_hours', 'tutoring_sessions']",2.0430617533664113,8.935821655862814,2.9892844722212057,0.3678262582030444
"['attendance', 'tutoring_sessions']",2.0432685326606936,8.936275171872712,2.9893603282094836,0.3677941737541841
"['attendance', 'sleep_hours']",2.1077671450045354,9.220376392649248,3.0365072686639905,0.34769514551657943
['attendance'],2.107903570147307,9.221498542196091,3.036692039406711,0.34761575791181254
"['previous_scores', 'hours_studied', 'tutoring_sessions']",2.3444969104102524,10.204813967313456,3.1944974514488904,0.2780501135196979
"['sleep_hours', 'previous_scores', 'hours_studied', 'tutoring_sessions']",2.3448934666859884,10.2436672604173,3.200572958146291,0.2753013979982243
"['hours_studied', 'tutoring_sessions']",2.394162400495999,10.509984682450837,3.241910653064152,0.25646050259134245
"['previous_scores', 'hours_studied']",2.4073402148011462,10.543768569394276,3.247116962690792,0.2540704273364871
"['sleep_hours', 'hours_studied', 'tutoring_sessions']",2.3975027866501706,10.553236041105947,3.2485744629153794,0.25340064147371777
"['sleep_hours', 'previous_scores', 'hours_studied']",2.411773703803867,10.582311427195005,3.2530464840200186,0.25134367387454337
['hours_studied'],2.4475687452945643,10.85592128879332,3.294832513010839,0.2319868674542106
"['sleep_hours', 'hours_studied']",2.453180127788779,10.898313114575167,3.3012593225275664,0.22898781485913866
"['previous_scores', 'tutoring_sessions']",2.7239825019918302,13.315465390555481,3.649036227629904,0.05798393209957875
"['sleep_hours', 'previous_scores', 'tutoring_sessions']",2.724629981976829,13.328943186500998,3.6508825215967984,0.057030431792367
['previous_scores'],2.759857797548975,13.666221431493403,3.696785283390611,0.03316934118704307
"['sleep_hours', 'previous_scores']",2.7610897523050926,13.679396711694515,3.698566845643663,0.03223724266216976
['tutoring_sessions'],2.7822958629312824,13.791973772812058,3.713754673213089,0.024272864599578448
"['sleep_hours', 'tutoring_sessions']",2.785063478015981,13.807415309368542,3.715833057252242,0.02318043747648324
['sleep_hours'],2.8229853524709765,14.160261991060565,3.7630123559537463,-0.001782057930924008
